date,code,open,close,high,low,vol,amount,open_yesterday,close_yesterday,avg_price,p_change,alpha001,alpha002,alpha003,alpha004,alpha005,alpha006,alpha007,alpha008,alpha009,alpha010,alpha011,alpha012,alpha013,alpha014,alpha015,alpha016,alpha017,alpha018,alpha019,alpha020,alpha021,alpha022,alpha023,alpha024,alpha025,alpha026,alpha027,alpha028,alpha029,alpha031,alpha032,alpha033,alpha034,alpha035,alpha036,alpha037,alpha038,alpha039,alpha040,alpha041,alpha042,alpha043,alpha044,alpha045,alpha046,alpha047,alpha048,alpha049,alpha050,alpha051,alpha052,alpha053,alpha054,alpha055,alpha056,alpha057,alpha058,alpha059,alpha060,alpha061,alpha062,alpha063,alpha064,alpha065,alpha066,alpha067,alpha068,alpha069,alpha070,alpha071,alpha072,alpha073,alpha074,alpha076,alpha077,alpha078,alpha079,alpha080,alpha081,alpha082,alpha083,alpha084,alpha085,alpha086,alpha087,alpha088,alpha089,alpha090,alpha091,alpha092,alpha093,alpha094,alpha095,alpha096,alpha097,alpha098,alpha099,alpha100,alpha101,alpha102,alpha103,alpha104,alpha105,alpha106,alpha107,alpha108,alpha109,alpha110,alpha111,alpha112,alpha113,alpha114,alpha115,alpha116,alpha117,alpha118,alpha119,alpha120,alpha121,alpha122,alpha123,alpha124,alpha125,alpha126,alpha128,alpha129,alpha130,alpha131,alpha132,alpha133,alpha134,alpha135,alpha136,alpha137,alpha138,alpha139,alpha140,alpha141,alpha142,alpha144,alpha145,alpha147,alpha148,alpha150,alpha151,alpha152,alpha153,alpha154,alpha155,alpha156,alpha157,alpha158,alpha159,alpha160,alpha161,alpha162,alpha163,alpha164,alpha167,alpha168,alpha169,alpha170,alpha171,alpha172,alpha173,alpha174,alpha175,alpha176,alpha177,alpha178,alpha179,alpha180,alpha182,alpha184,alpha185,alpha186,alpha187,alpha188,alpha189,alpha191
2017-01-03,600028,5.4200,5.5100,5.5200,5.4000,1028206.0000,562683776.0000,5.4100,5.4100,5.4725,0.0185,0.2537,-0.9762,-0.0500,-1.0000,-0.6124,-0.2555,0.7089,0.7849,5.4966,3.0000,-578595.1414,-0.1298,-0.0128,-0.1600,0.0018,-0.9452,1.1196,0.9718,-0.0282,-2.3050,-46.7449,-4.4388,54.0254,-0.0565,-0.2936,0.0234,-7.5159,17.0043,-23699.7837,-0.4816,-1.0646,-0.0772,1.0048,-0.2938,0.4939,-0.5305,0.0000,0.3688,197.3091,-0.5001,-0.2959,-934474.0000,5.0000,0.3229,0.9964,23.2197,-0.0844,0.4622,0.0756,0.5378,139.3673,50.0000,-0.3321,4.6866,True,37.9443,55.0000,0.4800,-822594.2360,-0.6143,0.0252,50.7967,-0.5001,1.0015,-0.1510,57.5727,-0.0000,-0.2968,90893315.6349,0.8927,48.6325,-0.9835,1.3504,0.5095,0.0870,-41.0582,54.7036,-15.9827,1455962.0988,47.0947,-0.2513,10203000.0000,49.0000,1.0000,-5.2143,2.6071,-0.0534,-0.2735,-0.0297,-4.0000,0.4300,20002102.0000,323938009.2722,35.6955,530492.3503,0.0400,-0.1690,572427.9159,-1,42.2265,5.0000,0.2441,-0.1214,0.1400,-0.2098,-0.9705,0.8604,118.6667,-240018.9758,8.5714,-0.0983,-0.7233,0.4622,26.7215,864.0000,162.5000,0.1034,0.3759,-0.1483,0.0017,0,0.0857,2.4372,5.4767,10.4390,-0.3200,0.7852,0.8041,861409076.8000,25.0000,11319.6991,1.0577,0.0216,0.0616,,0.0261,,-0.7162,-0.2200,0.0000,-29.0225,62.7047,-1,5631141.5267,0.2828,0.0088,5.4899,True,-132851.2645,-0.8197,4.8600,0.0428,-3647.9727,0.0552,0.1658,-1.0000,0.1963,0.3645,0.3800,-0.6568,0.0032,-0.2200,-10.1305,15.8947,7.2532,0.0649,0.1317,0.2170,30.0000,19005.6562,0.1497,-1028206.0000,0.3500,0.4554,0.2584,30.2548,1.3100,-14.5871,0.0794,0.7591
2017-01-04,600028,5.4800,5.5700,5.5900,5.4600,1007829.0000,559970880.0000,5.4200,5.5100,5.5562,0.0109,-0.0125,0.1410,-0.1300,-1.0000,-0.6124,-0.2555,0.1031,0.5470,5.5047,3.0000,-982289.1722,-0.1029,-0.0316,0.0100,-0.0054,-0.9452,0.9959,1.0018,0.0018,-1.7637,-43.2254,-4.4354,56.0314,-0.0432,-0.4558,-0.0403,-6.5163,36.6943,-17774.7619,0.5113,-1.6496,0.0588,0.9949,-0.3776,0.3037,-0.3103,-0.1400,0.1689,194.0436,-0.5001,-0.2954,-1150447.0000,7.0000,0.3202,0.9883,20.6397,-0.1492,0.3879,0.2241,0.6121,139.8955,50.0000,-0.3572,6.7328,True,43.3915,60.0000,0.7500,1324557.9449,-0.5897,-0.0717,58.3299,-0.5001,0.9877,1.2420,59.3841,0.0000,-0.2453,75256357.9640,1.6423,47.6892,-0.9736,1.2064,0.4984,0.3083,1.1242,58.1628,3.6663,1413282.7560,46.4641,-0.3126,12853510.0000,48.0000,1.0000,-7.2277,5.0943,-0.0435,-0.3085,-0.2487,-6.0000,0.4100,19196358.0000,330790691.0594,40.6313,544722.9668,-0.1600,-0.1865,585377.7032,-1,41.7707,0.0000,0.2285,-0.1612,0.2700,-0.0809,-0.9291,0.8767,120.4082,-348332.1893,8.5714,0.4486,-0.0787,0.3132,25.0388,1260.0000,159.1667,0.0589,0.7303,-0.3096,0.0016,0,0.0315,1.8236,5.5400,-6.2258,-0.3200,0.7623,0.8367,845301118.4000,25.0000,10974.5445,1.0561,-0.0117,0.0896,,-0.0127,,-0.6153,-0.1592,0.0000,-39.0689,66.4064,-1,5583372.6600,0.2822,0.0081,5.5050,True,-120424.9023,-0.4393,3.5543,0.0935,-3884.9967,0.0525,0.1567,-1.0000,0.1830,0.3637,0.3800,-0.6571,0.0024,-0.3566,-5.0698,15.5025,7.2734,0.0669,0.1200,-0.3128,25.0000,10974.5445,0.1633,-1007829.0000,0.3500,0.3258,0.2605,26.8804,1.4400,-6.1954,0.0761,0.3986
2017-01-05,600028,5.5500,5.7500,5.8100,5.5400,2386978.0000,1359467392.0000,5.4800,5.5700,5.6953,0.0323,-0.2291,0.1368,0.1900,1.0000,-0.6124,-0.7567,0.3239,0.1319,5.5534,5.0000,1153964.7167,-0.3716,-0.0220,0.2000,-0.0036,-0.8361,0.9845,1.0360,0.0348,3.4173,-41.4387,-4.4300,58.0204,0.0054,-1.3204,-0.1945,3.2221,72.1028,81569.3921,3.4018,-2.1480,0.3241,0.9671,-0.3855,0.4760,-0.4925,-0.2900,-0.0851,193.8354,-0.5001,-0.4122,2208717.0000,9.0000,0.4792,0.9654,14.2982,-0.1975,0.3719,0.2562,0.6281,148.3304,50.0000,-0.4701,10.3612,True,57.6098,60.0000,0.8900,1959212.3894,-0.7859,-0.8955,73.1363,-0.6199,0.9623,3.9157,64.1726,0.0000,-0.0988,333614225.9313,4.5455,45.4401,-3.7866,1.7135,0.4777,0.2607,106.7741,66.5284,156.1979,1506015.6364,44.8386,-0.8549,13995888.0000,36.0000,1.0000,-7.4621,8.2863,-0.0139,-0.8361,-0.8095,-4.0000,0.3700,21583336.0000,346629578.1704,58.3790,561568.3176,-0.3400,-0.8500,610858.8727,-1,68.9717,0.0000,0.0057,-0.3427,0.4400,-0.0903,-0.9547,1.0385,137.5000,-560911.8430,26.4368,-0.3658,-0.5184,0.3001,24.8997,11700.0000,181.1966,0.0142,0.2489,-0.5275,0.0015,-1,0.1217,1.1765,5.7000,32.8993,-0.3200,0.5738,0.9021,880466315.2000,95.0000,99457.4167,1.0559,-0.2198,0.4224,,-0.2432,,-0.2904,-0.6679,0.0000,-35.0956,69.6144,-1,13605774.6000,0.2901,0.0073,5.5510,False,-18117.7787,-0.5786,5.2378,0.2723,-3440.9695,0.0498,0.1667,-1.0000,0.0629,0.3077,0.5500,-1.5004,0.0015,-0.3283,-2.9322,13.6806,7.3627,0.0689,0.1450,0.5880,95.0000,77137.5296,0.4568,-33.0000,0.4000,0.1354,0.0674,23.2809,1.7100,66.1748,0.1075,-0.4740
2017-01-06,600028,5.7800,5.8700,6.0100,5.7400,3286120.0000,1945425280.0000,5.5500,5.7500,5.9201,0.0209,-0.2189,0.5926,0.4200,-1.0000,-0.8060,-0.7567,1.0210,0.0529,5.6453,5.0000,1533937.4147,-0.6650,-0.0467,0.4600,0.0052,-0.9115,0.9648,1.0850,0.0784,5.7658,0.4485,-4.4324,60.1282,0.0963,-1.5048,-0.2630,14.7560,82.9580,189469.9820,4.9151,-2.0604,0.0655,0.9532,-0.4924,0.8559,-1.8753,-0.4200,-0.2289,232.0504,-0.5001,-0.6239,6426530.0000,16.0000,0.5880,0.9552,8.8882,-0.2401,0.2615,0.4769,0.7385,172.3247,58.3333,-0.5667,13.1335,True,64.3325,65.0000,1.0500,1597214.7412,-0.9113,-0.9611,79.0823,-0.8055,0.9517,5.0716,66.8883,0.0000,-0.0726,591179102.5934,6.4289,43.8923,-4.4623,1.8031,0.4389,0.1346,167.7156,70.7779,156.2071,1675549.3853,43.7078,-0.9712,18243166.0000,20.0000,1.0000,-7.8114,10.7547,0.0190,-0.9115,-0.8591,-1.0000,0.3700,25606868.0000,408828797.9804,73.4681,789478.4167,-0.3600,-0.9533,699507.7407,-1,77.2763,0.0000,-0.2884,-0.6423,0.5700,-0.5763,-0.9300,1.1350,159.7122,-136218.3856,44.0860,-0.3244,0.5500,0.6090,23.5113,12555.0000,202.6087,0.0581,1.6877,-0.7272,0.0016,-1,-0.1089,0.9264,5.8733,57.2657,-0.2600,0.5132,0.8496,952298572.8000,95.0000,246759.9267,1.0572,-0.3936,0.6968,,-0.7179,,-0.1970,-0.2484,0.0000,-26.0113,76.8870,-1,19300478.1333,0.3041,0.0063,5.6068,False,104570.1250,-0.8768,4.0961,0.4015,-3203.9449,0.0474,0.1742,-1.0000,0.0441,0.2604,0.6700,-1.9250,0.0008,-0.1358,-0.8595,16.2924,7.4789,0.0714,0.1683,0.7630,95.0000,68579.8957,0.5467,-59.0000,0.4500,0.1850,0.2787,22.6790,1.9000,48.3283,0.1458,0.6300
2017-01-09,600028,5.8700,5.8600,6.0300,5.8300,2084128.0000,1234397696.0000,5.7800,5.8700,5.9228,-0.0017,-0.9358,0.6630,0.3900,-1.0000,-0.8060,-0.7567,1.0337,0.0602,5.7266,4.5000,1174421.8147,-0.7374,0.0063,0.4500,0.0000,-0.9115,0.9656,1.0832,0.0768,8.3179,24.5052,-4.4410,56.7981,0.1671,-1.4569,-0.2128,26.5054,84.1490,173356.3031,4.2705,-1.7089,-0.0407,0.9590,-0.5991,0.9379,-1.5782,-0.2200,-0.2802,185.1212,-0.5001,-0.6430,5625005.0000,17.0000,0.4846,0.9660,5.7639,-0.2039,0.2764,0.4472,0.7236,165.2252,50.0000,-0.4736,11.8861,False,67.5037,60.0000,0.7500,-995815.4838,-0.8976,-0.9158,77.3698,-0.8736,0.9662,3.5031,66.4503,0.0000,-0.0267,589046408.7749,5.8558,42.7097,-4.1830,1.8756,0.4540,0.1560,154.9925,69.9703,136.9625,1714461.6343,42.8301,-0.9644,14344413.0000,24.0000,1.0000,-7.8994,8.3179,0.0354,-0.8545,-0.7079,-1.0000,0.3600,22571996.0000,413668284.2345,79.0628,809142.0175,-0.2900,-0.9345,704267.4630,-1,54.0638,20.0000,-0.3102,-0.6834,0.4500,-0.0885,-0.6747,1.1196,158.8652,475370.1621,35.7143,-0.3237,1.4591,0.7600,23.2698,2940.0000,198.3051,0.1980,1.7353,-0.7298,0.0017,-1,-0.1357,0.8476,5.9067,60.1713,-0.2700,0.5096,0.0401,965111587.2000,75.0000,112452.9496,1.0597,-0.1775,0.2432,,-0.6732,,-0.2078,-0.0664,0.0000,-18.1160,81.4192,0,12310249.3867,0.3114,0.0053,5.6610,False,99273.0045,-0.9289,5.0958,0.3753,-3202.2541,0.0516,0.1675,-1.0000,0.7823,0.2203,0.5700,-1.2113,0.0003,-0.4170,-0.1780,21.6194,7.5608,0.0678,0.1767,0.9280,95.0000,-3550.4736,0.5482,-58.5000,0.5000,0.5743,0.8868,21.7756,2.1000,7.9353,0.1508,1.0313
2017-01-10,600028,5.8000,5.9000,5.9100,5.7400,1285796.0000,748621120.0000,5.8700,5.8600,5.8222,0.0068,-0.6453,-1.5824,0.5500,-1.0000,-0.8060,-0.7567,0.0445,0.1146,5.7547,5.0000,2434593.1257,-0.7232,0.0021,0.3900,-0.0102,-0.9115,0.8374,1.0708,0.0661,9.0573,18.5065,-4.4645,59.4351,0.2117,-1.5715,-0.1857,35.4205,88.3199,116458.4177,4.5790,-1.5843,-0.1178,0.9562,-0.6492,0.9234,-1.6598,0.1000,-0.3273,164.3994,-0.5001,-0.5929,6910801.0000,19.0000,0.3537,0.9671,3.5655,-0.2171,0.3710,0.2581,0.6290,133.7815,50.0000,-0.5823,11.8378,False,71.6691,60.0000,0.8600,1877730.6618,-0.8275,-0.7858,79.5006,-0.7513,0.9734,2.7278,67.3428,0.0000,-0.0663,547349321.7857,6.0992,41.2380,-4.1056,1.8456,0.4636,0.1693,107.7677,71.3946,25.0524,1673636.3358,41.7203,-0.9187,13088564.0000,11.0000,-0.0400,-7.9173,8.0586,0.0470,-0.7521,-0.8332,-1.0000,0.4200,22335076.0000,403035278.2955,83.0526,806954.5665,-0.1500,-0.8317,682869.7929,-1,43.6206,15.0000,-0.3713,-0.6544,0.4400,-0.0003,-0.3373,1.0774,135.9477,-142827.6456,32.5000,0.3315,-1.9003,0.8228,23.1636,2912.0000,215.3153,0.3657,0.1593,-0.6603,0.0018,-1,0.1676,0.8388,5.8500,59.9560,-0.2700,0.5657,0.0000,932461408.0000,75.0000,59274.2837,1.0609,-0.0778,0.2832,,-0.5731,,-0.2262,-0.1975,0.0000,-7.9827,75.7784,0,7521906.6000,0.3178,0.0042,5.7056,False,39569.4090,-0.9268,2.0965,0.2396,-3113.1706,0.0490,0.1642,-1.0000,0.2643,0.3041,0.5300,-0.7756,-0.0001,-0.8705,-14.6893,25.0089,7.6369,0.0718,0.1933,0.8201,90.0000,8776.7645,0.3569,-1285796.0000,0.5000,0.1564,0.2475,22.2700,1.8300,-6.8570,0.1553,0.8966
2017-01-11,600028,5.8600,5.7600,5.9100,5.7600,1136454.0000,663075264.0000,5.8000,5.9000,5.8346,-0.0237,-0.4435,1.8824,0.2900,-1.0000,-0.8868,-0.7567,0.0143,0.2148,5.7777,4.5000,441300.7923,-0.7416,-0.0001,0.1900,-0.0068,-0.9115,0.9247,1.0341,0.0330,4.5372,16.2215,-4.4986,55.7867,0.2073,-1.5517,-0.0130,34.5567,72.4971,51563.2486,1.9168,-1.7507,-0.1208,0.9812,-0.6610,0.8209,-1.3305,0.1200,-0.3298,181.6241,-0.5001,-0.5343,4746141.0000,17.0000,0.1344,0.9920,5.4436,-0.0983,0.3833,0.2333,0.6167,144.8399,50.0000,-0.5104,11.1879,False,67.2666,55.0000,0.6600,1216704.1163,-0.8260,-0.2474,56.9710,-0.8239,1.0043,-0.4322,61.3791,0.0000,-0.0800,530058551.6842,3.2335,41.6467,-4.3476,1.7084,0.4979,0.1813,82.1791,60.4481,12.7626,1622476.1134,42.0027,-0.6753,10208876.0000,18.0000,0.1400,-4.9154,4.5372,0.0320,-0.4737,-0.2486,-3.0000,0.4100,18778826.0000,407405271.5965,76.5683,796289.6657,0.1100,-0.4090,692288.3485,-1,41.8078,10.0000,-0.1446,-0.5431,0.2500,-0.0569,-0.3851,1.0298,117.9641,339842.0906,12.7660,-0.3824,1.6898,0.8840,23.7481,176.0000,195.0000,0.4719,1.8396,-0.6725,0.0019,0,-0.1606,0.8770,5.8100,45.1290,-0.4100,0.6886,0.0243,917550425.6000,75.0000,24179.8723,1.0619,-0.0226,0.1512,,-0.4488,,-0.2484,-0.0087,0.0000,-2.5356,69.6641,0,6602797.7400,0.3144,0.0031,5.7141,False,-9778.5108,-0.9084,1.1176,0.2244,-3094.9994,0.0541,0.1650,-1.0000,0.9221,0.2573,0.5300,-0.6983,-0.0003,-0.5809,0.0000,27.9155,7.6334,0.0682,0.1983,0.7897,85.0000,-26966.7051,0.7151,-1136454.0000,0.5000,0.8955,0.2411,21.9051,1.9800,-15.0638,0.1581,0.8723
2017-01-12,600028,5.7800,5.8300,5.9100,5.7400,1471319.0000,859151616.0000,5.8600,5.7600,5.8393,0.0122,-0.4686,-1.0588,0.2700,-1.0000,-0.8868,-0.2555,0.0963,0.6832,5.7912,4.0000,-169878.8004,-0.1884,-0.0149,0.0800,0.0035,-0.9262,0.9689,1.0139,0.0137,4.6679,16.0500,-4.5287,58.6000,0.1819,-1.5605,-0.0352,35.5289,72.2813,68679.1634,2.9126,-1.7368,-0.8145,0.9717,-0.6535,0.6173,-0.6364,-0.0000,-0.2929,214.7521,-0.5001,-0.5064,5209631.0000,16.0000,0.4501,0.9831,7.1063,-0.2121,0.3393,0.3214,0.6607,147.0377,50.0000,-0.4092,8.4876,False,67.9213,55.0000,0.6300,1054544.5655,-0.8272,-0.8754,63.2242,-0.8721,0.9997,0.0286,63.0848,0.0000,-0.1897,482731513.2924,4.0762,41.5914,-4.3747,1.4710,0.5038,0.1520,80.3935,63.5006,-38.3606,1608080.1978,41.9434,-0.8142,8944410.0000,42.0000,-0.0700,-6.8757,3.5524,0.0276,-0.9262,-0.1773,-5.0000,0.4500,21430659.0000,379826141.8377,75.4362,768984.9915,0.0300,-0.6183,641627.9872,-1,47.6606,5.0000,0.0796,-0.5476,0.2000,-0.0535,-0.4962,1.0170,112.4260,117266.1002,16.3265,-0.4339,0.1833,0.9252,26.2633,3696.0000,186.0656,0.6140,1.2758,-0.6760,0.0019,0,-0.0201,0.9205,5.8267,42.0935,-0.4100,0.8476,0.0021,883306777.6000,75.0000,41518.7019,1.0611,-0.3097,0.1500,,-0.4113,,-0.3217,-0.2829,0.0000,-0.6373,64.6152,-1,8572885.3733,0.3087,0.0020,5.7312,False,-19125.5476,-0.8495,2.2549,0.2103,-3061.7816,0.0514,0.1625,-1.0000,0.0959,0.2384,0.5700,-0.9406,-0.0006,-0.4664,-1.0776,28.4466,7.6568,0.0727,0.2050,0.6674,80.0000,17880.6128,0.7983,-1471319.0000,0.5000,0.2838,0.4843,21.9745,1.7600,-3.0801,0.1469,0.5324
2017-01-13,600028,5.8200,5.8900,5.9700,5.7800,1317487.0000,776759360.0000,5.7800,5.8300,5.8958,0.0103,-0.2509,-0.0991,0.1700,-1.0000,-0.8868,-0.2555,1.0232,0.5782,5.8151,3.5000,-1287953.4262,-0.1180,-0.0215,0.0200,-0.0017,-0.9262,0.9954,1.0034,0.0034,2.4348,17.9801,-4.5591,61.2820,0.1495,-1.5462,-0.0484,34.6710,78.4941,32077.9443,3.4695,-1.3613,-0.7832,0.9665,-0.6248,0.6869,0.5948,-0.0600,-0.3613,215.2941,-0.5001,-0.4555,4140140.0000,15.0000,0.6540,0.9759,8.8710,-0.1713,0.3423,0.3153,0.6577,160.2230,58.3333,-0.2446,11.3134,False,71.2068,60.0000,0.9200,1683030.2287,-0.8701,-0.7761,68.0064,-0.7065,0.9935,0.6551,64.4875,0.0000,-0.0488,487141611.8528,4.7732,42.0370,-4.7146,1.8500,0.4713,0.1188,85.3098,65.9573,-59.9075,1580404.6552,42.2600,-0.6815,12364204.0000,52.0000,-0.0600,-6.8214,8.0734,0.0290,-0.7685,-0.2406,-9.0000,0.4500,19760797.0000,375386552.3727,76.6352,767539.0792,0.0100,-0.4909,630897.6929,-1,45.1569,0.0000,0.0837,-0.5481,0.4400,-0.0812,-0.9322,1.0266,136.0000,-23099.7508,35.4839,0.4400,0.0867,0.8353,26.0331,3724.0000,215.1786,0.6039,1.1446,-0.7084,0.0020,0,-0.0124,0.9479,5.8800,40.3828,-0.3000,1.3037,0.0478,864913251.2000,75.0000,78196.1709,1.0598,-0.1967,0.1568,,-0.3425,,-0.4592,-0.1745,0.0000,2.4156,58.8558,-1,7746823.5600,0.3152,0.0009,5.7481,False,-34054.7285,-0.6879,1.4124,0.2416,-3131.2988,0.0488,0.1683,-1.0000,0.1045,0.2395,0.6300,-0.8639,-0.0009,-0.1797,-1.2952,30.3140,7.6965,0.0773,0.1917,0.4706,75.0000,13559.0429,0.3500,-1317487.0000,0.5000,0.2361,0.3694,21.9973,1.9500,6.7076,0.1172,0.4664
2017-01-16,600028,5.8900,5.9600,5.9800,5.8300,2553645.0000,1515296256.0000,5.8200,5.8900,5.9339,0.0119,-0.2433,-0.5754,0.1700,-1.0000,-0.7419,-0.7567,0.7966,0.2601,5.8408,5.0000,706427.7220,-0.4302,-0.0293,0.1000,0.0000,-0.9262,0.9922,1.0171,0.0168,1.5332,23.3621,-4.5745,63.9124,0.1396,-1.4383,-0.0853,36.3066,88.9080,39152.9898,4.0745,-0.9614,-1.2978,0.9609,-0.6440,0.9061,0.4356,-0.0700,-0.4113,252.3188,-0.5001,-0.4016,3407665.0000,14.0000,0.7357,0.9702,7.5660,-0.2345,0.3097,0.3805,0.6903,163.1481,66.6667,-0.1376,12.0647,False,76.7110,60.0000,0.8300,2346022.3953,-0.8906,-0.6607,72.9339,-0.7821,0.9843,1.5909,66.0577,0.0000,0.0303,334666696.2755,5.6269,40.8437,-4.8838,1.8875,0.4850,0.0837,80.8877,68.6434,22.5282,1673094.2118,41.3539,-0.5985,13466232.0000,133.0000,-0.0700,-7.7817,8.1670,0.0350,-0.8167,-0.7773,-14.0000,0.3400,17574104.0000,401816713.7503,78.7146,778246.9965,-0.2000,-0.8097,671001.8263,-1,63.5972,5.0000,0.1043,-0.4799,0.4500,-0.1490,-0.7698,0.9949,146.4286,-608083.1288,41.4141,-0.4073,-0.6419,0.6879,25.5578,7938.0000,221.4953,0.4222,0.4545,-0.7371,0.0021,-1,0.0560,0.9383,5.9233,58.4573,-0.2900,1.1450,0.0130,901353427.2000,65.0000,188647.6486,1.0608,-0.2885,0.0972,,-0.3144,,-0.4748,-0.4497,0.0000,8.8037,52.4264,-1,15126090.5500,0.3220,-0.0001,5.7823,False,37083.4553,-0.5611,2.3816,0.2165,-3307.5010,0.0464,0.1700,-1.0000,0.1732,0.2261,0.7000,-1.6161,-0.0010,-0.3517,-6.1272,30.6607,7.7526,0.0821,0.1717,0.6728,70.0000,30348.9219,0.7304,-47.0000,0.5000,0.2211,0.3739,23.4765,2.1000,-13.2725,0.0856,-0.4222
