0,1,2,3,date
0.5,0.0,0.5,0.0,2018-03-18
0.7918,0.3102388698465045,0.6882909090909092,0.3244767100608314,2018-03-19
0.5,0.0,0.5,0.0,2018-03-20
0.5,0.0,0.5,0.0,2018-03-21
0.5,0.0,0.5,0.0,2018-03-22
0.6839000000000001,0.11344534660649006,0.5491,0.30650071234283727,2018-03-23
0.5,0.0,0.5,0.0,2018-03-24
0.5,0.0,0.5,0.0,2018-03-25
0.5,0.0,0.5,0.0,2018-03-26
0.6822636363636364,0.26976608140699593,0.5421272727272727,0.2938690620324547,2018-03-27
0.5,0.0,0.5,0.0,2018-03-28
0.540025,0.33752952741204734,0.489925,0.3126065208452952,2018-03-29
0.5,0.0,0.5,0.0,2018-03-30
0.5,0.0,0.5,0.0,2018-03-31
0.5,0.0,0.5,0.0,2018-04-01
0.5,0.0,0.5,0.0,2018-04-02
0.5,0.0,0.5,0.0,2018-04-03
0.5,0.0,0.5,0.0,2018-04-04
0.5,0.0,0.5,0.0,2018-04-05
0.5,0.0,0.5,0.0,2018-04-06
0.5,0.0,0.5,0.0,2018-04-07
0.5,0.0,0.5,0.0,2018-04-08
0.5,0.0,0.5,0.0,2018-04-09
0.4809333333333334,0.0781370306292449,0.8184,0.14936159702770543,2018-04-10
0.5,0.0,0.5,0.0,2018-04-11
0.5,0.0,0.5,0.0,2018-04-12
0.540025,0.33752952741204734,0.474575,0.33075622726564047,2018-04-13
0.5,0.0,0.5,0.0,2018-04-14
0.5,0.0,0.5,0.0,2018-04-15
0.5,0.0,0.5,0.0,2018-04-16
0.540025,0.33752952741204734,0.47100000000000003,0.3324352643748855,2018-04-17
0.6197818181818183,0.39051505806884373,0.3988181818181818,0.3396730535467674,2018-04-18
0.7358800000000001,0.12606200696482664,0.52294,0.3705618361353473,2018-04-19
0.5,0.0,0.5,0.0,2018-04-20
0.5,0.0,0.5,0.0,2018-04-21
0.459475,0.2705514865510814,0.555975,0.31858560368447286,2018-04-22
0.5354454545454546,0.30156872686801167,0.5717545454545454,0.23892316514514705,2018-04-23
0.7396454545454545,0.32799681640261075,0.48148181818181823,0.37844304679756174,2018-04-24
0.6511181818181819,0.37701589987735346,0.6822454545454545,0.27058901866999957,2018-04-25
0.513425,0.31118734208672433,0.5458500000000001,0.2568769403819658,2018-04-26
0.37401818181818186,0.3480470365761236,0.3961909090909091,0.23242951406451048,2018-04-27
0.5,0.0,0.5,0.0,2018-04-28
0.5,0.0,0.5,0.0,2018-04-29
0.5,0.0,0.5,0.0,2018-04-30
0.5,0.0,0.5,0.0,2018-05-01
0.5,0.0,0.5,0.0,2018-05-02
0.6983818181818182,0.3809132824677168,0.7531454545454547,0.30220251597423375,2018-05-03
0.5,0.0,0.5,0.0,2018-05-04
0.5,0.0,0.5,0.0,2018-05-05
0.5,0.0,0.5,0.0,2018-05-06
0.5,0.0,0.5,0.0,2018-05-07
0.5,0.0,0.5,0.0,2018-05-08
0.540025,0.33752952741204734,0.4737,0.3318448206617063,2018-05-09
0.5326181818181819,0.4124616297706465,0.4981363636363636,0.277457326031581,2018-05-10
0.5,0.0,0.5,0.0,2018-05-11
0.5,0.0,0.5,0.0,2018-05-12
0.5,0.0,0.5,0.0,2018-05-13
0.5,0.0,0.5,0.0,2018-05-14
0.540025,0.33752952741204734,0.503925,0.3257543121356953,2018-05-15
0.5,0.0,0.5,0.0,2018-05-16
0.5,0.0,0.5,0.0,2018-05-17
0.5,0.0,0.5,0.0,2018-05-18
0.5,0.0,0.5,0.0,2018-05-19
0.5,0.0,0.5,0.0,2018-05-20
0.5,0.0,0.5,0.0,2018-05-21
0.5565818181818183,0.2761170299254938,0.6504636363636364,0.275047963660976,2018-05-22
0.5,0.0,0.5,0.0,2018-05-23
0.5,0.0,0.5,0.0,2018-05-24
0.5,0.0,0.5,0.0,2018-05-25
0.5,0.0,0.5,0.0,2018-05-26
0.5,0.0,0.5,0.0,2018-05-27
0.5714545454545455,0.39038908880904577,0.9174909090909092,0.1294336365903073,2018-05-28
0.5,0.0,0.5,0.0,2018-05-29
0.5,0.0,0.5,0.0,2018-05-30
