0.017799,0.080465,0.016328,0.12384,0.082778,-0.0097153,0.21547,0.14892,0.037716,0.23578,0.19028,0.12917,8.9076,8.9121,8.9163
-0.017296,0.047068,0.033742,0.076184,0.027438,-0.034089,0.18396,0.098172,-0.015287,0.23959,0.18135,0.10965,8.9232,8.9269,8.9302
-0.09438,0.076671,0.14588,0.010163,0.014343,0.0090277,0.14929,0.070501,-0.027628,0.25254,0.18641,0.10788,8.9485,8.9515,8.954
-0.050717,-0.15372,0.43682,-0.17941,0.24663,0.34775,0.014991,0.08422,0.094385,0.41768,0.31296,0.16955,8.9975,8.9999,9.0015
-0.0089975,0.39731,0.25312,0.040533,0.11296,0.090135,0.13184,0.16413,0.12321,0.39585,0.30501,0.18933,9.0347,9.0364,9.037
0.088238,-0.19722,0.35719,0.1168,0.29581,0.12806,0.20996,0.28557,0.17271,0.52812,0.43826,0.2755,9.1069,9.1076,9.1065
0.11344,0.33249,0.25739,0.13191,0.15222,0.091106,0.27741,0.25933,0.16339,0.36679,0.29131,0.19678,9.1844,9.1831,9.1793
-0.093358,0.29199,0.22505,0.26614,0.24988,0.088932,0.32936,0.29183,0.16348,0.39731,0.30969,0.1983,9.2686,9.2642,9.2566
0.044004,0.28334,0.10398,0.19591,0.14907,0.011456,0.39359,0.30384,0.12134,0.40691,0.30546,0.18024,9.3155,9.3077,9.2965
0.10207,0.1959,0.077145,0.056938,0.027477,-0.015628,0.14082,0.085986,-0.00054202,0.68262,0.4796,0.21417,9.3193,9.312,9.3018
-0.024624,0.1811,0.15851,0.013284,0.0083207,-0.0027378,0.090259,0.040359,-0.02328,0.62947,0.39552,0.11386,9.3686,9.3573,9.3427
0.021811,0.055893,0.038515,0.0046543,0.013764,0.013211,0.11743,0.044291,-0.042334,0.51521,0.30993,0.078522,9.381,9.3692,9.3544
-0.011378,0.29122,0.2036,0.042765,0.087279,0.059622,0.084765,0.063086,0.0077613,0.4503,0.24219,0.016578,9.4141,9.3995,9.3819
