date,code,name,weight
2020-11-30,601628.sh,中国人寿,0.4
2020-11-30,601633.sh,长城汽车,0.19
2020-11-30,601658.sh,邮储银行,0.08
2020-11-30,601668.sh,中国建筑,0.64
2020-11-30,601669.sh,中国电建,0.18
2020-11-30,601688.sh,华泰证券,0.64
2020-11-30,601698.sh,中国卫通,0.04
2020-11-30,601727.sh,上海电气,0.11
2020-11-30,601766.sh,中国中车,0.39
2020-11-30,601788.sh,光大证券,0.21
2020-11-30,601800.sh,中国交建,0.16
2020-11-30,601808.sh,中海油服,0.04
2020-11-30,601816.sh,京沪高铁,0.1
2020-11-30,601818.sh,光大银行,0.39
2020-11-30,601828.sh,美凯龙,0.02
2020-11-30,601838.sh,成都银行,0.14
2020-11-30,601857.sh,中国石油,0.24
2020-11-30,601877.sh,正泰电器,0.2
2020-11-30,601878.sh,浙商证券,0.17
2020-11-30,601881.sh,中国银河,0.09
2020-11-30,601888.sh,中国中免,1.07
2020-11-30,601898.sh,中煤能源,0.05
2020-11-30,601899.sh,紫金矿业,0.72
2020-11-30,601901.sh,方正证券,0.21
2020-11-30,601916.sh,浙商银行,0.05
2020-11-30,601919.sh,中远海控,0.27
2020-11-30,601933.sh,永辉超市,0.17
2020-11-30,601939.sh,建设银行,0.27
2020-11-30,601985.sh,中国核电,0.17
2020-11-30,601988.sh,中国银行,0.39
2020-11-30,601989.sh,中国重工,0.22
2020-11-30,601992.sh,金隅集团,0.06
2020-11-30,601997.sh,贵阳银行,0.11
2020-11-30,601998.sh,中信银行,0.09
2020-11-30,603019.sh,中科曙光,0.2
2020-11-30,603156.sh,养元饮品,0.08
2020-11-30,603160.sh,汇顶科技,0.17
2020-11-30,603259.sh,药明康德,0.61
2020-11-30,603260.sh,合盛硅业,0.03
2020-11-30,603288.sh,海天味业,0.88
2020-11-30,603369.sh,今世缘,0.17
2020-11-30,603501.sh,韦尔股份,0.21
2020-11-30,603658.sh,安图生物,0.11
2020-11-30,603799.sh,华友钴业,0.2
2020-11-30,603833.sh,欧派家居,0.13
2020-11-30,603899.sh,晨光文具,0.15
2020-11-30,603986.sh,兆易创新,0.39
2020-11-30,603993.sh,洛阳钼业,0.18
2020-11-30,000001.sz,平安银行,1.08
2020-11-30,000002.sz,万科A,1.18
2020-11-30,000063.sz,中兴通讯,0.53
2020-11-30,000066.sz,中国长城,0.14
2020-11-30,000069.sz,华侨城A,0.17
2020-11-30,000100.sz,TCL科技,0.54
2020-11-30,000157.sz,中联重科,0.25
2020-11-30,000166.sz,申万宏源,0.28
2020-11-30,000333.sz,美的集团,2.41
2020-11-30,000338.sz,潍柴动力,0.45
2020-11-30,000425.sz,徐工机械,0.15
2020-11-30,000538.sz,云南白药,0.28
2020-11-30,000568.sz,泸州老窖,0.76
2020-11-30,000596.sz,古井贡酒,0.14
2020-11-30,000625.sz,长安汽车,0.32
2020-11-30,000627.sz,天茂集团,0.06
2020-11-30,000651.sz,格力电器,1.81
2020-11-30,000656.sz,金科股份,0.1
2020-11-30,000661.sz,长春高新,0.59
2020-11-30,000671.sz,阳光城,0.07
2020-11-30,000703.sz,恒逸石化,0.13
2020-11-30,000708.sz,中信特钢,0.04
2020-11-30,000709.sz,河钢股份,0.06
2020-11-30,000723.sz,美锦能源,0.05
2020-11-30,000725.sz,京东方A,0.83
2020-11-30,000728.sz,国元证券,0.13
2020-11-30,000768.sz,中航西飞,0.24
2020-11-30,000776.sz,广发证券,0.28
2020-11-30,000783.sz,长江证券,0.19
2020-11-30,000786.sz,北新建材,0.19
2020-11-30,000858.sz,五 粮 液,2.79
2020-11-30,000860.sz,顺鑫农业,0.19
2020-11-30,000876.sz,新 希 望,0.33
2020-11-30,000895.sz,双汇发展,0.26
2020-11-30,000938.sz,紫光股份,0.18
2020-11-30,000961.sz,中南建设,0.1
2020-11-30,000963.sz,华东医药,0.14
2020-11-30,000977.sz,浪潮信息,0.16
2020-11-30,001979.sz,招商蛇口,0.26
2020-11-30,002001.sz,新和成,0.23
2020-11-30,002007.sz,华兰生物,0.27
2020-11-30,002008.sz,大族激光,0.19
2020-11-30,002024.sz,苏宁易购,0.19
2020-11-30,002027.sz,分众传媒,0.56
2020-11-30,002032.sz,苏泊尔,0.07
2020-11-30,002044.sz,美年健康,0.2
2020-11-30,002050.sz,三花智控,0.24
2020-11-30,002120.sz,韵达股份,0.11
2020-11-30,002129.sz,中环股份,0.23
2020-11-30,002142.sz,宁波银行,0.63
2020-11-30,002146.sz,荣盛发展,0.07
2020-11-30,002153.sz,石基信息,0.06
2020-11-30,002157.sz,正邦科技,0.13
2020-11-30,002179.sz,中航光电,0.18
2020-11-30,002202.sz,金风科技,0.2
2020-11-30,002230.sz,科大讯飞,0.33
2020-11-30,002236.sz,大华股份,0.21
2020-11-30,002241.sz,歌尔股份,0.49
2020-11-30,002252.sz,上海莱士,0.1
2020-11-30,002271.sz,东方雨虹,0.32
2020-11-30,002304.sz,洋河股份,0.61
2020-11-30,002311.sz,海大集团,0.25
2020-11-30,002352.sz,顺丰控股,0.6
2020-11-30,002371.sz,北方华创,0.24
2020-11-30,002410.sz,广联达,0.34
2020-11-30,002415.sz,海康威视,0.97
2020-11-30,002422.sz,科伦药业,0.12
2020-11-30,002456.sz,欧菲光,0.16
2020-11-30,002460.sz,赣锋锂业,0.34
2020-11-30,002463.sz,沪电股份,0.14
2020-11-30,002466.sz,天齐锂业,0.14
2020-11-30,002468.sz,申通快递,0.04
2020-11-30,002475.sz,立讯精密,1.22
2020-11-30,002493.sz,荣盛石化,0.29
2020-11-30,002508.sz,老板电器,0.11
2020-11-30,002555.sz,三七互娱,0.19
2020-11-30,002558.sz,巨人网络,0.06
2020-11-30,002594.sz,比亚迪,0.88
2020-11-30,002601.sz,龙蟒佰利,0.18
2020-11-30,002602.sz,世纪华通,0.13
2020-11-30,002607.sz,中公教育,0.14
2020-11-30,002624.sz,完美世界,0.15
2020-11-30,002673.sz,西部证券,0.1
2020-11-30,002714.sz,牧原股份,0.65
2020-11-30,002736.sz,国信证券,0.22
2020-11-30,002739.sz,万达电影,0.1
2020-11-30,002773.sz,康弘药业,0.07
2020-11-30,002841.sz,视源股份,0.16
2020-11-30,002916.sz,深南电路,0.09
2020-11-30,002938.sz,鹏鼎控股,0.08
2020-11-30,002939.sz,长城证券,0.07
2020-11-30,002945.sz,华林证券,0.02
2020-11-30,002958.sz,青农商行,0.08
2020-11-30,003816.sz,中国广核,0.09
2020-11-30,300003.sz,乐普医疗,0.2
2020-11-30,300014.sz,亿纬锂能,0.34
2020-11-30,300015.sz,爱尔眼科,0.7
2020-11-30,300033.sz,同花顺,0.17
2020-11-30,300059.sz,东方财富,1.07
2020-11-30,300122.sz,智飞生物,0.45
2020-11-30,300124.sz,汇川技术,0.45
2020-11-30,300136.sz,信维通信,0.21
2020-11-30,300142.sz,沃森生物,0.37
2020-11-30,300144.sz,宋城演艺,0.17
2020-11-30,300347.sz,泰格医药,0.34
2020-11-30,300408.sz,三环集团,0.19
2020-11-30,300413.sz,芒果超媒,0.28
2020-11-30,300433.sz,蓝思科技,0.24
2020-11-30,300498.sz,温氏股份,0.49
2020-11-30,300601.sz,康泰生物,0.26
2020-11-30,300628.sz,亿联网络,0.11
